,Content
1039,<@946710636883243029> <@891047303497015306> نجيبو الشبيبة تاع فيسديس هاذوك خبرة كبيرة في الاضرابات ثانيتك
1040,يردونا تابعين لتيبازة xD
1041,يجي لعندي انا ڨاوري نستعرف بيه و نتحيلو و نخدمو كيما تقول الشريعة ، و مايشدنيش اواناسي دايرني فلا 3 ميكست
1042,والله التمصخير
1043,وهاذي هي الرسالة تاعي و بارتاجو خاوتي مكاش الخوف هذا قاع راكم عرب اقحاح مكاش قاع هذا الخوف
1044,Average day f ensia
1045,هذوك حنا نقولو يديوهم زادو مدولهم ال 4
1046,Yawedi la logique y7awzo hadok lbrahech t3 bouzeri3a so we get more space
1047,و حنا رح يلوحونا في 1700 في 3
1048,We study there so we should be the priority
1049,Ymedolhom ensia tani machi khir 🤡🤌
1050,جماعة حنا نستناو و نشوفو  لا ردوها ثنائية الاضراب ينادي من لخ
1051,لخر
1052,<@877942175315398766>  نسينا البارتي تع لي كانت عقليتوا خفيفة راه هبل
1053,Dok risto ywlli yfte7 3la 8 yball3 3la 00:00
1054,"3ndi 3 n3rfhom deja, kano min dhimn li ghl9o fesdis last time xD"
1055,هاديك خدمنا بيها بزاف
1056,Lik Lcomments 😂😂😂
1057,ez pz yji m3ak wahd 2005 lchambrea khwfo .. dk whdo rahiil a lwali
1058,يلوحو مع كل واحد فينا واحد من النيوبيز. 😂
1059,فجأة الطلبة القدم كامل يتحولو لارهابيين
1060,xD
1061,"Fr, manwelouch individual? That room makantch kafyetni wahdi, kifech ya9edrou y3ichou 2 people fiha ??"
1062,Exactly
1063,+ chkon taguani
1064,لوكان تنوض الحرب حنا لولين لي نتهردو
1065,فيسديس اصلا الفترة الوحيد لي تكون محلولة فيها هي اول سمانة
1066,kima kano f maalma 1 & 2
1067,"but logically, greve fchbab lawzi xD"
1068,we have the right in all maalma residencies more than whoever not studies in the pole
1069,الميلود يعطيلك حبة روز يقولك الله غالب ماتكفيش الماكلة الفوايي تعود تبسط في لرض باه تقعد لاصال تعود تلعب ماتش الماتش الجاي يكون السمانة الجاية وزيد وزيد وزيد
1070,soo
1071,الحياة ستصبح صعبة 😭
1072,Ldouche tdewech khatra fel smana 💔
1073,Bachir rah jab 300 w ydirli 2 f la chambre yroh yedi hado 100 ysknhom f daro w tabi bouzari3a kamal temma wtf
1074,نورمالمو اذا يديروها ثنائية يديرو للجدد وان كان نورمالمو يدو الادبيين وحنا كل واحد شومبرة خاطر هاذوك اصلا ماهيش بلاصتهم ورانا اقلية مقارنة بيهم
1075,Ljomo3a tnoud 3la 3 ta3 sba7 bch tdewech w fel chak talga
1076,awah 3AM
1077,That's it Mahich aslan ta3 deux personnes
1078,Tlga Lchabiba dayrin charlomonti fel douche kal3ada
1079,تلقى الماء خلصوه
1080,khssrna assli7a t3 greve btw
1081,lazemna armory jdida
1082,علاه؟
1083,Kayen good side ki njbdou twyouat ta3 lnar ndirou 12v12 mch 6v6
1084,باه في سمانة تفرغ لا سيتي هكا
1085,نقولو للجدد هذاك راك كي تخدم بيه يزيدولك في التقويم
1086,ونقصو العدد تاعهم
1087,=> sanitaries twliw t9ssmo 3la 4
1088,Les matches tweli t7km plastek qbal mayodkhlou ljamahir lel stade
1089,Khmmt fiha w 7chmt ngoulha xD
1090,Troh l stade tel9a place
1091,"t9ol match f moustapha chaker, lazem thkm blasstk youmin 9bl bch tchouf DZAIR vs MALI"
1092,تطيرلك بلاصة في كوت ديفوار تتفرج الكان اسهل من انك تتفرج في لاسيتي
1093,damn
1094,the thing ta3 2 f room is serious
1095,xD
1096,xD
1097,xD
1098,xd
1099,xD
1100,Larvi mode anfal
1101,La salle d'étude galek bel smana 9bal bch kach matlga blassa
1102,BLAGUE DE L'ANNEE
1103,khawti mthlbouch dhrya bli kayn ethernet fl ecole
1104,Not that please 😭😭😭
1105,تجي تتغدا في الريسطو تلحق على العشاء
1106,Speedy yweli f koul wa9t lah ysm7
1107,M3a face Id lala klit
1108,لي كانو صغار وسياو الخاطوف على خمسمية هكاك تصرا للطون في الريسطو
1109,هاذوك الرجال لي يخدمو في الشونطي وياكلو عند سبيدي يوليو يطيحولنا كي يشوفونا في غاشي
1110,حنا رانا الرحمة يالشونطي
1111,اواه بالغاشي الرحمة في الشونطي يا حنا
1112,chnowa lhal daba?
1113,Not speedy tani 😭😭😭
1114,Loukan ydemandiw la carte 7da lbab tweli la chaine ll ta7t
1115,Ida welat ldakhla bel wejh therdet kthar
1116,منا و رايح غادي جد العنف يجيب
1117,الرحيل ا الوالي
1118,و لي متقادر هو و خوه لا يدير الكيتمان راني نهدر ياسر
1119,الكلاب تاع الهنودة راح يشبعو السنة
1120,راح تولي كل ليلة اولمبياد 100 متر
1121,tawallah bellati araahiiiil asi lwali
1122,يدير hide لل channel*
1123,المهم خاوتي فرقة مكافحة الباست فراندز رايحة تبدا الخدمة من النهار اللول
1124,ولي عجبوا الحال عجبوا و لي ماعجبوش
1125,3ellal
1126,
1127,"<@&879492497586405426>  News from <@681238662453002271> lyoum ra7 Lla cité w galoulou bli officially ga3 rana f Mahelma 03 w rana 1700 wahed including the new schools bqat Mahelma 05 maghlou9a the only solution hya yaft7ouha w ydirou separation, L2idara ta3 la cité said spam bel comments f la page ta3 DOU Alger Ouest psq rahem ytl3ou Lcomments Ll moudir w ychouf koulech w ida mariglouch L7ala 7ata L dakhla yabda l3am b grève wa chokran"
1128,Fax a3tina paga ta3 dou
1129,I'm in the mood for trolling 🥲
1130,LEMOJI
1131,https://www.facebook.com/doualgerouest?mibextid=ZbWKwL
1132,Azdam a Lchabab matkhafech
1133,Hetha f ensia only tem kayen ghachi yespamiw
1134,This is the wtf of the year
1135,حسبي الله
1136,Copier coller
1137,Kach wa7ed ywjdlna comment nspamou bih
1138,Ha nmout 🫠
1139,rohna fl GGs
1140,تدوش مع الجنون تصيبو يمدلك فالشومبوا
1141,البنوات
1142,
1143,Us this year 🥲
1144,Madkhaltch nhar l discord l githa tkhaltt
1145,"Khawti rass ytir, grv w safi"
1146,"Mantal3ouch l les chambres, wnglbouha"
1147,Ndiro greve kbira 3la ta3 l3am li fet
1148,imagine having to endure an extra person in that box 😞
1149,"Had l 3am la fac kbira, nbato fiha xD 🤣"
1150,wykon 2005 ☠️
1151,"W la cité maychoufounech hatan ysipariwna (khawti I don't guarantee bli lbnet ykouno 9al mn 1000 either psq bnet ktar bzf mn drari, so yfrgouna b l'école wla ythardo)"
1152,"L adabiyat ylikidiwhoum fi mlyar, at least yfargho wahda"
1153,أعمال الترميم هاذو لي من ثلث سنين ما كملو تبهليل وتقاعس في العمل خاوتي، القطب كمل وسيتي ما كملتش
1154,وعليه سنتمرد لطرد الدخلاء من القطب خمس اقامات قطب تكنولوجي دايرين ربعة للادبيات ووحدة لينا
1155,Btw kayn tag khrj ghir kima #سيدي_عبد_الله_قطب_تكنولوجي_وليس_أدبي
1156,Nspamiw bih ta3 l khadamet
1157,"exactly ☠️  i mean if yftho the 5th had l3am, next year nzido nhsslo f same problem (temp solution) 🫠"
1158,"Exactly, we be not joking him"
1159,راهم يتكاثرو بوتيرة أسرع
1160,جماعة وين راكم تكومونتيو
1161,جيت رح نكومونتي مالقيت حتى كومونتار
1162,حتا انا
1163,Nah if u reach 4th year any student in Algeria has right of individual room so we just need to reach the 4th year 😂
1164,Sema rana 2 f une chambre 🥲
1165,ا جماعة ابعثو ثاني للمدير ومدكور قولولهم قدقد  يا يديرو حل يا يستناو اي حاجة
1166,oh did not know about it
1167,nope
1168,Master students have right in individual room
1169,1700 wa7ed kifeh ydirolhom mela wl 7a y7elouna 5?
1170,ya individual ya greve x)
1171,Yeah Iam so in magalesh 7eta hadou li jabouhom m genre ma3lish yedou placa 🥲
1172,6ru
1173,"True, they gotta do something about this"
1174,Kawti imagine 1000 new face f le pole 🙂
1175,Manzidch nokhroj 🙂👍
1176,@everyone  الشباب ماتخافش  ازدم ، ازدمو نڨلبو جدها باذن الله ماراناش حابسين
1177,https://m.facebook.com/story.php?story_fbid=pfbid02wUsyWEA6JyLqekeRVDrizhoR2wVxXCh85wjjWfr4eS6dE1837nyVmaHoymNopnFSl&id=100063631343424&mibextid=Nif5oz
1178,Aya ncomwntiw fi hada
1179,الله يسهل هاذي المهم تبقى chambre individuelle ما يهمش كيفاه يجيبو الادبيين هاذوك يحشروهم هنا ويزيد مايحلش  ال 5 باه كشما يزيد يدير فيها ادبيين العام الجاي ومبعد يقولك الله غالب نتوما بزاف
1180,وجدو كومونتار فريد نهدرو بيه كامل
1181,سيدي عبد الله قطب تكنولوجي ليس أدبي الغرفة الفردية حق لطالب الذكاء الاصطناعي بموجب المرسوم الرئاسي
1182,نزيدو هاشتاج الراس يطير
1183,وهاشتاج الفردية أو التمرد
1184,اشكروني من بعد روحو كومنتيو ذرك 🤣
1185,It's time to burn wheels
1186,في ظل  استمرار اكتظاظ القطب بطلبة الآداب، 1700  طالب من نخبة البلاد في إقامة معالمة 3!!!!   أين حق طلبة المدارس المنشأة بمرسوم رئاسي في الغرفة الفردية ؟ #الغرفةالفرديةحق
1187,https://www.facebook.com/100066666077846/posts/634217968810400/?mibextid=rS40aB7S9Ucbxw6v
1188,مافهمتش علاه مازال ماشي ناويين يديوهم
1189,Nchlh brk tbdaw tcommentiw
1190,https://www.facebook.com/profile.php?id=100091664040787&mibextid=LQQJ4d
1191,"hadi la page ta3 faycel Henin directeur ta3 diwan, Machi ta3 dou"
1192,"Hada link li tbe3tou fih, lchkawi f discord ma3ndhoum mayjibou، Burn la page ta3 dou"
1193,هذا نحاوه
1194,7ana wa9t tsya9 la page
1195,جماعة زيدو شوفو تاع البرومو لي بعدنا وتاع المات راهم حتا هوما معنيين
1196,Chaker nawwd l mouteur
1197,Ya jdk nahawh vite vite
1198,Win rakom t commontiw
1199,Hna
1200,l3arabya rahtli mina sadma 😞
1201,<@890943195456868392> can you send here the text of the other comment
1202,قطب تكنولوجي بستة اقامات جامعية لنخبة البلاد لكن ليس لديهم الحق الا في واحدة؟ 4 مدارس و 8 دفعات في اقامة واحدة أكثر من 1700 طالب؟؟؟ في حين 4 من أصل 6 اقامات مخصصة لطلبة خارج القطب التكنولوجي مع العلم أنو الغرف الفردية حق لطلبة المدرسة العليا للذكاء الاصطناعي بموجب المرسوم الرئاسي
1203,في ظل  استمرار اكتظاظ القطب بطلبة الآداب، 1700  طالب من نخبة البلاد في إقامة معالمة 3!!!!   أين حق طلبة المدارس المنشأة بمرسوم رئاسي في الغرفة الفردية ؟ #الغرفةالفرديةحق #طلبةالذكاءالاصطناعي_يطالبون_بالغرفة_الفردية
1204,قطب تكنولوجي بستة اقامات جامعية لنخبة البلاد لكن ليس لديهم الحق الا في واحدة؟ 4 مدارس و 8 دفعات في اقامة واحدة أكثر من 1700 طالب؟؟؟ في حين 4 من أصل 6 اقامات مخصصة لطلبة خارج القطب التكنولوجي مع العلم أنو الغرف الفردية حق لطلبة المدرسة العليا للذكاء الاصطناعي بموجب المرسوم الرئاسي في ظل  استمرار اكتظاظ القطب بطلبة الآداب، 1700  طالب من نخبة البلاد في إقامة معالمة 3!!!!   أين حق طلبة المدارس المنشأة بمرسوم رئاسي في الغرفة الفردية ؟ #الغرفةالفرديةحق #طلبةالذكاءالاصطناعي_يطالبون_بالغرفة_الفردية
1205,Hada lien https://m.facebook.com/story.php?story_fbid=pfbid02wUsyWEA6JyLqekeRVDrizhoR2wVxXCh85wjjWfr4eS6dE1837nyVmaHoymNopnFSl&id=100063631343424&mibextid=Nif5oz
1206,"lol, t7afto l7ala"
1207,gg
1208,165 messages 💖😂
1209,
1210,younes ak 3ajbni
1211,zid cbwya y7awzek mark
1212,و جماعة  المات وينهم  اني نشوف غير في تواعنا 🙃🙃
1213,hed channel ghir te3 3eme anné te3na
1214,ضرك نروح نكمل نسيق الحالة
1215,لي داخل في غروب تاع جماعة المات يخبرهم خلي يديرو واجبهم مام هما
1216,Zaki wkta inscription f la cité?
1217,Good question
1218,not fixed
1219,m3a dkhla they said
1220,20 24 sept
1221,I see
1222,its delayed because of progress
1223,Wt bout school? Magalouch date te3 d5la?
1224,Wllah ghir daroli timeout 😂
1225,they say the same thing
1226,Okay Thanks
1227,mods te3 la page ki ychoofooma derna raid 3la la page
1228,Gg everyone
1229,Khawti if the campuses are ready but they won't open it to us for literally no reason   Then there's a real possibility yzido m3ana the new schools exactly like campus for no reason XD   I know they opened one school special for ai brk but I know decisions ta3 last second ki dayrin too
1230,🫠🫠🫠🫠
1231,Bonne remarque 😂 at least l'école kbira
1232,Knowing that most of the directorate workers adabiyin  This person really opened fire 😂😂😂💯
1233,I heard that director ta3 math said fi Nahar bli 297 new students  Yssma imagine it's now 300 instead of 200 for every promo   We'll have our new 300 ai plus 600 of the two new schools Yssma 900 students xD If jabo other 900 students mkan la kbira la walou xDDD
1234,حسبي الله
1235,"No guarantees bli 9blou 300 m les écoles jded, et même si kayen 900 jded madironjich kima la cité"
1236,"there is a reason, progres"
1237,"yes but i hope not, deja our school mzalhum yra7lo f les bureau w kda"
1238,https://m.facebook.com/story.php?story_fbid=pfbid0K8FbDaGrd5kLT2kKa7KBkJZo9oYYYAb1kVDB1FxfL1ZorDConmxSJaRNZ62AYTM4l&id=100063582054101&mibextid=Nif5oz
1239,
1240,Salle de conférence lekbura hadi?
1241,Match hna haja mahboula
1242,Tesleh ydirolna écran kbir lteht netferjo fiha les matches
1243,Kont nekteb fiha 😭
1244,Tkhaf ydachnoha bl 7afl ta3 spacetoon
1245,هاذي ثاني مليحة ✨😂
1246,double biceps hna mch nrml
1247,Let’s go 😼😼😼
1248,Makanch mrayat ghir makalah
1249,Yfajirouha ayoub bi tha9il 😂😂
1250,Asber ne7ih ay tnod la guerre 😂
1251,Rah kayen wch m7it a Ayoub 500 DA ntafi ldaw
1252,
1253,Ya merouane matkonch mediocre qalek boukhalfa don't expose logs to end users
1254,"Machi ghir nta 3endek powers, bs7 ayoub khoya"
1255,Yahasrah 😂
1256,اواه هك حمستوني
1257,Ya merouane hambook dirli timeout mena la rentrée ani bdit ndi3 f discord 😂
1258,هروب تكتيكي
1259,9otlk matdorch m3a l Annabi
1260,"3ndi log ta3 had server, ta3 GDSC, ta3 ETC w ta3 Skill n Tell"
1261,arwa7i t9abli
1262,"Ida 7sbetlek log ta3 servers ykhel3ou, you saw nothing 😂"
1263,Khesatek tae secai
1264,Ahaaaa sema ana faha
1265,Hatitk khoya y’a ayoub
1266,"Not surprising, bs7 I didn't know you care that much about my avatar changes"
1267,Faha w bi 9owa
1268,Mayhaboch rjal imed khoya hebo yferqona 😂
1269,Mykdrouch😂
1270,Ki machi nta faha chkon faha
1271,Kho bsh wech kolt
1272,3leh nta mawlitch tkhel3ou f dhelma ? 😂
1273,Ychof snik w 3inik yemchi wehdhom yekhle3 kter
1274,Ytghacha meskin carrément
1275,Hada vrai machi ayoub
1276,awah wa9ila sa7 bdit tdi3
1277,تم دخول القرصان الجزائري
1278,"كما قال الشاعر howa rah y7ewes 3la public  You can’t get public with my avatar changes, I'm sorry try to invent another story 😂"
1279,هادا غير اسماعيل مان لي حكالنا عليه احساس
1280,"I won't reply to you from now, bs7 I see you are very interested in my log part, enjoy them 😉 😂"
1281,ابعث بريفي ابعث
1282,
1283,https://tenor.com/view/emotional-damage-gif-24390252
1284,ايوب وحدو 🤣🤣🤣
1285,<@700379394383937607> I was just kidding sorry 🙏 don't take it to heart
1286,<@880206525950476359> ملك القصف 😱
1287,Qrib dert 3efsa trewehli lmoustaqbal 🥲
1288,I hope no one saw that
1289,Kayen logs 😂
1290,b3at photo f ask students
1291,Aya ma tefdehnach 😭
1292,New post m dou 3la mahelma => Burn it again  Hada link https://m.facebook.com/story.php?story_fbid=pfbid02XwKMnYEMezTx36X75nPmJuXKvXTjrmfKUoRtdDaZmbi47oKESTKqaFBiEe2u5NXfl&id=100063631343424&mibextid=2JQ9oc
1293,Cbn hbblnahm
1294,قطب تكنولوجي بستة اقامات جامعية لنخبة البلاد لكن ليس لديهم الحق الا في واحدة؟ 4 مدارس و 8 دفعات في اقامة واحدة أكثر من 1700 طالب؟؟؟ في حين 4 من أصل 6 اقامات مخصصة لطلبة خارج القطب التكنولوجي مع العلم أنو الغرف الفردية حق لطلبة المدرسة العليا للذكاء الاصطناعي بموجب المرسوم الرئاسي في ظل  استمرار اكتظاظ القطب بطلبة الآداب، 1700  طالب من نخبة البلاد في إقامة معالمة 3!!!!   أين حق طلبة المدارس المنشأة بمرسوم رئاسي في الغرفة الفردية ؟ #الغرفةالفرديةحق #طلبةالذكاءالاصطناعي_يطالبون_بالغرفة_الفردية
1295,I'm with u :)
1296,Sa7it jamal
1297,
1298,😱😱😱
1299,Vrai ma7rtch they figure it out
1300,They call us elite ghir ki nkounou 7na who needs to deal with it
1301,قولهم حرشو حرشو
1302,كي يڨهمك بلاشارج برك وين تسمعها
1303,نعلن رسميا عن بداية لاڨراف من النهار اللول
1304,🙌🏻
1305,😱
1306,Golo nhar ndiro la grève tweli 3andkom authority
1307,Saha l3ennabi ✨
1308,"Guys lzm najro 3liha doke, psq ki dire la grv fal badya nta3 l3ame y9oulak cbn 6aftare wyatik promises for next year"
1309,Hata system d'école they used to have no authority Avengers... Assemble
1310,Exactly cuz ki tfot troh w teskon 2 say Gg klak fox
1311,Exactlyy
1312,Lzm najro 3liha soit yafat7o l 5 soit nta3 bouzari3a mayatouhomche l 4
1313,We can't wait 7ata yabdaw ymado les chambres
1314,i v activated for free
1315,U right
1316,Wech ndiro sema?
1317,Dok trohlk
1318,Njou nbatou berra for 3 days w ndirou strike
1319,Lessgo
1320,"Rahm ba3to email llbachir idk ida reponda wlla mazal , 7nna nstnnaw chwiya , ida ma ban walo n3awdo ndiro 3lihm la pression, sinon ida mabghawch mnna 7tta ldekhla , ntfahmo wa7ed ma yro7 Hakda w zido chofo"
1321,telqa Imed ltem xD
1322,Bachir be like we are aware of the situation pls bear with us trust us
1323,Nchoufo kifah ncontactiw l directeur nta3 dou
1324,Dok nchouf nmr ta3o
1325,Mais 3andi ta dcc lim3ah
1326,"Sayi 3ayatlo, psq snn naspamiwhome bles msgs, kml naba3toulhome meme message🙃"
1327,3lah exact?
1328,He has authority💀
1329,والدبرش المتحمس للدراسة كيفاه نقنعوه ميروحش؟
1330,yrouh yeqra wahdou 🙂 yqabel medkour ou bachir temma
1331,Thb naetikom nrm ta3o ahkiw m3ah
1332,yep same thinking خاطر اذا وصلت البدية يقولك ال 5 ماشي واجدة طفرت والادبيين داو بلايصهم مانقدروش نبدلوهم ضرك
1333,ig we make pressure from now maybe it'll help in the answer he'll give if he answers
1334,I definitely agree on everything  But what do you suggest
1335,1- contact director of DOU 2- contact the minister of HE
1336,how to contact them? espically the minister
1337,I'm sure we know someone who knows someone dok nchouf kchma 3ndi some leads
1338,For now we put pressure on our directpr
1339,Wngoulpulpu bli if it's not fixed debut danne dirou nta w 20 bnadem
1340,Ig we should write something official l director
1341,they wrote already
1342,"Yawdi nhadro m3a brahim wlla cherif w hiya frat , bayna 3ndhm contact m3ah"
1343,Ay kayn hadak majlis ta3 this year where they do meeting 2 time a year and idk   Ig they have direct contact to wizara  So we ask them to write Since they have the authority to do so
1344,Who?
1345,2nd years
1346,lol
1347,its not official but still xDD
1348,Bzzaf ba3to
1349,Za3ma 1600 students makach mana li 3ando 5youta fal wizara wala fal dou ya9dina sla7e?😂
1350,Be3to just bach ykoun 3abalo machi bach y9olo students rahom kml contre ?
1351,"A9ra l'email , w zid rahm ba3to bzzaf deja ki ychofhm y3ref"
1352,Lazem رسالة شديدة اللهجة
1353,"Lala nabdaw bhadi mli7a, zidoulo bali we would appreciate a response as promptly as possible."
1354,Omba3de ida mafihach ndiro chadidate lahja
1355,Hadi li b3etoha bzf jaya cute
1356,"Man, if anyone 3ndo  bs7 mazalo hna Yssma vrai may3rfch sla7o XDD"
1357,الكوستيم دومي مونش
1358,Ya wdi that email is way too nice
1359,Genre they're being like please fiha i9ama w7dna wla no🥺
1360,Lazem nebe3to une demande
1361,Soit mail soit neketboha
1362,W yeb3etha délégué l’école
1363,Au mm temps nebe3to l dou
1364,Ta3 melekher we don’t accept this
1365,Ig so
1366,saha Hekou
1367,Haka mm ida wsselna l une grève may9oloch 3lech mahdernach me9bel
1368,But lazem everything ykoun organized w official (mails or papers)
1369,+ as soon as possible
1370,Dou nationale + dou alger ouest
1371,+ we need to get their contact and do this asap
1372,We can ask bachir yeb3etlhom tan while nhewsso 3la contact ta3hom
1373,Ida kayn wahed sur alger ye9der yroh 3endhom tan mliha
1374,The problem is that he's not replying till now as far as I know Lazem wa7ed yro7elhoum
1375,And we may ask Brahim or Cherif too
1376,Jma3a We need to be fast Mazal two weeks
1377,Nebe3to l medkour w djouamaa tan
1378,Alright So we make an email
1379,Btw Did anyone try to contact the page of DOU alger ouest ?
1380,"Exactly, we need to take actions quickly Someone ywajade official email tonight and then we review it I have the number nta3 dcc li madouh l <@890943195456868392>, he’s called Mustapha, nchoufo wa7ade ya3rafe yahdare y3ayatlo Bachir ida marepondach tani nab3atoulo someone y3ayatlo"
1381,Dou ma3andhomche official email?
1382,
1383,Naba3toulhome official email in arabic
1384,
1385,3endhom fix n spamihom
1386,Mabghawch yrefdo
1387,It's literally 23:40
1388,"It's night time, office hours are done"
1389,Exactly😂 <@877942175315398766> nta t3ayate at midnight?🤣
1390,"bruh, like bayna they (i9ama admin) have contact w DOU & already talked it out with them, just i9ama admin trippin on us cuz either they did not hear back from them yet or they tryna take things slow and quiet till ysdmo all students nhar the entry .. cuz they received +1700 yet they do not have beds nor other resources for all the +1700 students"
1391,Howa yeb3et email at 3 am mala surement mayr9doch bekri 🤨🤨🤨
1392,Exactly even if we pretend that it will be for 1700 student it's even impossible to do it they don't have the resources for that
1393,Testit brk ida ysouni xD  Lawwl sona  deuxième non
1394,and for that i think they agreed on some terms before even they are assigned with +1700
1395,Guys they said bli they did a meeting today to decide whether to separate boys and girls or idk (lmhm to find a solution)
1396,Marouane bayatlo fal bureau😂
1397,Who said
1398,Who mentioned that?
1399,I can imagine restau starting at 12 and ending at 3
1400,Rani fi la cite rn
1401,good luck basmala
1402,Miloud my3oudch ykder yedi mkla 😂
1403,Dw nchallah yl9awlkm 7al
1404,"Inchallah, thanx for the information"
1405,"Inchallah, hopefully"
1406,Mn li kan ygoulna makanch zyada ywlli ygoul makanch makla
1407,Sure?
1408,"In that case, I think ndiroulhome chwi la pression"
1409,Ana wch 7yerni wch Kano ydir f ssif à part عملية التشجير في الاقامة الجامعية
1410,Chiya bzzaf
1411,Mb3d tlgaw la cité sa7ra
1412,Please can you insist on them tomorrow?
1413,"if we are splitted, bois will be this close 1 inch away from hameed .. lessgo T-T"
1414,We'll ask them cuz I wanna know too
1415,حملة النظافة الكبرى تحس راح يخدمو اوطوروت جديدة
1416,Inshallah Btw best of luck
1417,"Most post yl3bli 3la lmoral . Rabbani kl ma yna7ii 7chicha yposter ""مواصلة عملية تهيئة المساحات الخضراء""  Tgol rahm ychajro f adrar"
1418,هاذي اليوم
1419,They need more time to prepare for the splitting tho💀
1420,طريق سيار شمال جنوب
1421,It exists already xD
1422,"Fl mawa9i3 brk , fl wa9e3 mazal machfnahach"
1423,هي تبالي حابسة مور المدية
1424,اودي وهاذي وحدها
1425,حمبوكم قولولي شكون مزال عندو مشكل معا سيت تع الايواء ولا أنا برك
1426,Brrdli gelbi xD
1427,problem probably m3a your account
1428,كومونتار لضرك ماقدرش يحبسني من الضحك
1429,surement
1430,ios users ma tekhrejlhoumch la carte or only me ?
1431,To5rojli
1432,ToT
1433,Which card
1434,ohhh front student card w back residency card Gg
1435,Exactly
1436,Wait ma3raftach ta9labha?😂
1437,no I clicked but ma qritch xD
1438,I thought it was the same student card
1439,Kol khtra yfaj2ona b7aja ma3ndha 7tta fayda xD
1440,Ghostbusters
1441,for me it is the same
1442,yo wait
1443,i didnt pay i9ama and i have it
1444,lolz
1445,artiste
1446,Nta dok nwllo ma tlga la chambra Individuel la m3a sa7bek
1447,3ndi preuve 🙂
1448,nbat f l ecole m3lich ahi kbira
1449,locale ana 9adim
1450,Dire m3aya roommate mala😂
1451,khabith
1452,Good idea
1453,Rmawk fi Black list again XD
1454,https://www.facebook.com/100063631343424/posts/787752983355739/?mibextid=rS40aB7S9Ucbxw6v
1455,sema lyoum ygolk
1456,ygolk
1457,ygolk o
1458,duk n3yt l brahim
1459,lnoudira te3na ahi tem
1460,Alright
1461,😱
1462,Any news jma3a?
1463,Nspamiw l post xD?
1464,Lessgoo😂
1465,على بركة الله
1466,
1467,I guess since it's reshared by the school page sma fiha
1468,23 nodokhlo
1469,حنا 24
1470,aya w la cite kifah dork?
1471,"They announced it in the news too, gae nedoukhlou le 23"
1472,الاقامة عيطت اليوم لوحدة تخدم في اقامتنا  قاتلي لحد الان ماعلابالهمش كيفاش رح يديرو
1473,الظاهرة رح يعرفو نهار 22 سبتمبر
1474,وبشير ماريبوندالناش كامل
1475,"either a solution will occur in the upcoming days or greve w dprch madabih mayfssdch cuz im pretty sure 100% want their right for an individual room as promised since 2021, as simple as that its impossible that the ministry and campus admin. do not resolve it till entry day, bcz they are already aware that the number fat the capacity .. theù solution will yban in the upcoming days when either i9ama is resourced with extra beds or, some logical split is decided"
1476,W 7kayet rooms and the huge number ?
1477,"Not sure if they can make a decision soon,y5louna 7ata ngrbou n9raw as usual,"
1478,Any contact te3 i9ama <@879496652887556117>
1479,"exactly, they would not ykhliwha hka +1700 students and resources (beds) mknch meme pas so, it is either a solution li will satisfy our right or a solution that would not .. they would not stay hkak without a solution cuz im pretty sure the menistry is already aware of the problem"
1480,What if their solution is to bring extra beds and stuff
1481,"IH I got u  I just meant that they will do their solutions after nssm3ou, Aware of the problem but they don't know BLI we don't agree 3la roommates"
1482,"1700 f cité wehda means 7a ykounou problème f lma , resteau, douche …"
1483,"#no_for_saying_""kifk kif nass"""
1484,Not really since the others have double rooms
1485,With pressure li 7a tkoun 3endk during the year ma7ach ykoun 3endk lwe9t tkhmmi f hed hadjat li kano ybanolo basics
1486,Enfin for them I mean
1487,Hadi Machi solution 💀
1488,"From their perspective, it is🙂"
1489,3liha je propose ndirou un écrit signé b ga3 les promos n7e6ou une copie f dou et une autre f diwan
1490,"this sol does not satisfy us => we do our thing .. same as we changed la note elim, bourse...."
1491,"Cuz Houma yest3rfou ghir b les écrits, Ida fatou 10 jours mabanch khber n76ou we7da fel ministère"
1492,Lprblm kifah ndirouha écrit wrana b3ade? Wchkoune yadiha?
1493,Ndirou an excel sheet or something fiha NOM PREMON signature png w npartajiwha
1494,As long as it's not building other rooms it's not a solution
1495,what I was thinking اذا راح يديرو غرفة ثنائية، راح يستناو يكمل الراطراباج ويديروها ونهار الدخلة راك تفيق هذا كي يحبو يمكرو فينا
1496,بصح اذا وصلت للدخلة ومافراتش كلاك فوكس يقولك ماعندي مانديرلك بصح ضرك لي صح تقدر تبدل
1497,"if we will do, we need to do it asap we have only two weeks"
1498,Oui justement galoulhm mor rattrapage rah nghl9ou la cité wahd ma y9dr ydkhl psq 3adna khdma
1499,that's it
1500,"as i said lbarah mala, i9ama are already aware and they are just trippin on us"
1501,"No other solution, cuz Ida fetna w dina mfate7 6frt, même si ndirou greve y9oulek next year inchallah"
1502,"awdi idha wsal do5ol cbn ygoulek we don't have time to set maalma 3 and we cannot kick literatture students now men m3alma 4 so simp,y ykoun klana fox"
1503,Actually it's difficult for them to gather human ressources in 15 days
1504,"Naaah mazel, Ida khedmou ouled fayet 1 w kmlouha f 15 jours y9edrou yrej3ou adabiyat tem w y3touna la 4"
1505,but we need to put pressure now ki yousel 24 cbn
1506,they only need beds .. tables and chairs we already have two per room
